run_family,scenario_name,active_lp_fairness_gap_nav_per_deposit,fpmm_fairness_gap_nav_per_deposit,fpmm_minus_active_lp_gap,active_lp_max_price_change,fpmm_max_price_change,active_lp_slippage_pass,fpmm_slippage_pass,active_lp_solvency_pass,fpmm_solvency_pass
adversarial,fpmm_compare_adv_0045,0.000208743948813128465843526,-0.030387038659756840371399240,-0.030595782608569968837242766,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0046,0.0001227553252961026738439404,0.0853290260785484354867311021,0.0852062707532523328128871617,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0047,0.0001385137735714720356609272,-0.0252690104765077331676492670,-0.0254075242500792052033101942,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
deterministic,early_vs_late_same_delta_b,0.0128241316879214921421904096,0.0244908281136928210792287231,0.0116666964257713289370383135,2.624120992910607646011639570E-29,1.890404741403200988560668547E-29,True,True,True,True
deterministic,long_tail_late_lp,-0.0588875984903516459497794371,0.0211478828892977209702176569,0.0800354813796493669199970940,3.374692031740994479984785479E-29,9.758383131931493620200187412E-30,True,True,True,True
deterministic,neutral_late_lp,0.0470680149814667404981278349,0.0122178907808158000457067341,-0.0348501242006509404524211008,2E-80,1.692294275245178550119679541E-29,True,True,True,True
deterministic,repeated_lp_entries,-0.0356506282942241531215290594,0.0086965445682477272339754447,0.0443471728624718803555045041,3.709404702152548257295422586E-29,7.683588457703440414453106630E-29,True,True,True,True
deterministic,same_block_trade_reordering,0.0755986505535344705159953131,0.0202919169683068838747525416,-0.0553067335852275866412427715,2E-80,9.835305542738914098283329197E-29,True,True,True,True
deterministic,same_final_claims_different_timing,0.0822423049757168874217251191,0.0404647570651096878965933033,-0.0417775479106071995251318158,1E-80,4.858134865671897509799920386E-29,True,True,True,True
deterministic,skewed_late_lp,-0.0351963076510826568165816443,0.1169883457462921545964852925,0.1521846533973748114130669368,2.373209603267881507115591096E-29,3.456890584456932812948175535E-29,True,True,True,True
deterministic,zero_flow_nav_invariance,0.0000857418094000871563931488,0.0000358857574007561171051603,-0.0000498560519993310392879885,1E-80,4.562036783331416711580652279E-29,True,True,True,True
