run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,divergence_implemented,divergence_max_price_entry_diff,divergence_max_quote_diff,divergence_max_nav_diff,divergence_max_nav_per_deposit_diff,divergence_solvency_match,invariant_failures
adversarial,layer_c_adv_0016,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,3,100,25,7,primary,1.726236382983195709702754400E-28,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0016,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,7,primary,0.000000,True,True,2,True,1,0,0,True,0.000001226546994383692993779769357,0.0006185940398989919724141447173,0.0000620025347865387239919,4.783767082577596801968E-7,True,0
adversarial,layer_c_adv_0017,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=hedge",reference_parallel_lmsr,3,100,25,6,primary,1.726236382983195709702754400E-28,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0017,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=hedge",global_state_avm_fixed_point,3,100,25,6,primary,0.000000,True,True,2,True,1,0,0,True,0.000001226546994383692993779769357,0.0006185940398989919724141447173,0.0000620025347865387239919,4.78534665461705044988E-7,True,0
adversarial,layer_c_adv_0020,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,3,100,25,8,primary,2.339249273041892416921891970E-29,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0020,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,4.899849722645882667377576472E-7,0.0003729119095222642078591324054,0.0000956154207689928121267,7.353521395740442839189E-7,True,0
adversarial,layer_c_adv_0021,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=hedge",reference_parallel_lmsr,3,100,25,8,primary,2.339249273041892416921891970E-29,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0021,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=idle, winner_policy=hedge",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,4.899849722645882667377576472E-7,0.0003729119095222642078591324054,0.0000956154207689928121267,7.35233671671085260326E-7,True,0
adversarial,layer_c_adv_0026,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=favorite",reference_parallel_lmsr,3,100,25,8,primary,1.726236382983195709702754400E-28,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_adv_0026,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=favorite",global_state_avm_fixed_point,3,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,0.000001226546994383692993779769357,0.0006185940398989919724141447173,0.03228907440665328786850899,0.001377851062169428821545419,True,0
