run_family,scenario_name,active_lp_fairness_gap_nav_per_deposit,fpmm_fairness_gap_nav_per_deposit,fpmm_minus_active_lp_gap,active_lp_max_price_change,fpmm_max_price_change,active_lp_slippage_pass,fpmm_slippage_pass,active_lp_solvency_pass,fpmm_solvency_pass
high_skew,fpmm_compare_high_skew_0001,-0.0768716588947094307769136474,0.3109833968032384439573743934,0.3878550556979478747342880408,1E-80,9.438035652551723592296478179E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0002,-0.1053550649128290322877925213,0.7445299999541575936874539055,0.8498850648669866259752464268,7.419422762462116291367197871E-29,1.514200486561017581577335933E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0003,-0.1935970525146330416798639513,0.9926809593188826047210197254,1.186278011833515646400883677,0E-80,1.303926912844162771757250317E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0004,-0.0744464368203481323249707361,0.1566551513097799789685342163,0.2311015881301281112935049524,2E-80,1.408005212182692336965155870E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0005,-0.0833374072762309303625780168,0.3109833968032384439573743934,0.3943208040794693743199524102,1E-80,2.821369465899365523254816260E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0006,-0.1370074869530081975177940629,0.7445299999541575936874539053,0.8815374869071657912052479682,3.297521227760940573940976832E-29,5.089994563585605489744302898E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0007,-0.3364714645046705262225710062,0.9926809593188826047210197243,1.329152423823553130943590730,1.9E-79,6.275305711856023854047221962E-31,True,True,True,True
high_skew,fpmm_compare_high_skew_0008,-0.0772489227973714101395566937,0.1317813993305021878729998474,0.2090303221278735980125565411,1E-80,8.353865974462831061075334057E-31,True,True,True,True
high_skew,fpmm_compare_high_skew_0009,-0.0748279602243840663365154739,0.2628077326380729513499073781,0.3376356928624570176864228520,1E-80,7.057800557111071365735600285E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0010,-0.0799324471722650976448658337,0.6474124101302304255200917914,0.7273448573024955231649576251,6.075803383539105863143535612E-29,1.002912449080147216728817943E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0011,-0.1326886218966466057674338971,0.9962473197442573067850386437,1.128935941640903912552472541,8E-80,8.459848191988175014118123089E-32,True,True,True,True
