run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
adversarial,fpmm_compare_adv_0015,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,135.5706594804716590703169429,1.043965629029403606309546574,1.043965629029403606309546574
adversarial,fpmm_compare_adv_0015,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,23.00096661880797172031938299,1.027732799624441588976934661,1.027732799624441588976934661
adversarial,fpmm_compare_adv_0016,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,128.8663977686079532398837817,0.9923392754952031112217201061,0.9923392754952031112217201061
adversarial,fpmm_compare_adv_0016,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,23.52898645580447957979419238,1.051325864834576045604558562,1.051325864834576045604558562
adversarial,fpmm_compare_adv_0016,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,129.4044083478885370178179136,0.9964822409050898552149208779,0.9964822409050898552149208779
adversarial,fpmm_compare_adv_0016,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,22.97275611214434106064316343,1.026472293339087062336740908,1.026472293339087062336740908
adversarial,fpmm_compare_adv_0017,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,123.7928683568432473575308406,0.9532704213342106205000684138,0.9532704213342106205000684138
adversarial,fpmm_compare_adv_0017,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,22.60251586756918546214713356,1.009929160635276264069254193,1.009929160635276264069254193
adversarial,fpmm_compare_adv_0017,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,125.1452456733109129169059451,0.9636844404241939647153959683,0.9636844404241939647153959683
adversarial,fpmm_compare_adv_0017,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,21.23191878672196516155513197,0.9486879268036347088015097250,0.9486879268036347088015097250
adversarial,fpmm_compare_adv_0020,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,119.6361851745787382441752382,0.9212617670304098243499964180,0.9212617670304098243499964180
adversarial,fpmm_compare_adv_0020,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,21.58265680932046951762632152,0.9601349442193134561993965634,0.9601349442193134561993965634
